"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 08, 2018","63.53","63.80","64.90","63.43","41.03M","0.49%"
"Jun 07, 2018","63.22","63.23","66.00","62.72","71.73M","-1.06%"
"Jun 06, 2018","63.90","60.10","64.43","59.50","93.84M","9.74%"
"Jun 05, 2018","58.23","59.54","59.56","57.35","29.98M","-1.89%"
"Jun 04, 2018","59.35","58.87","59.80","58.71","23.99M","1.70%"
"Jun 01, 2018","58.36","57.17","58.39","56.77","27.12M","2.48%"
"May 31, 2018","56.95","57.44","58.07","56.59","29.60M","-2.38%"
"May 30, 2018","58.34","56.66","59.00","56.32","37.45M","2.80%"
"May 29, 2018","56.75","55.70","57.30","55.23","28.33M","1.76%"
"May 25, 2018","55.77","55.53","55.93","55.12","19.38M","0.36%"
"May 24, 2018","55.57","55.68","56.22","54.98","20.88M","-0.43%"
"May 23, 2018","55.81","55.55","55.98","54.80","29.93M","1.47%"
"May 22, 2018","55.00","57.55","57.60","54.68","44.73M","-3.34%"
"May 21, 2018","56.90","56.27","58.30","56.26","45.91M","2.78%"
"May 18, 2018","55.36","56.93","56.93","54.80","36.26M","-2.72%"
"May 17, 2018","56.91","57.18","57.84","56.79","22.10M","-0.68%"
"May 16, 2018","57.30","56.77","57.76","56.31","28.37M","0.81%"
"May 15, 2018","56.84","57.00","57.39","56.10","47.60M","-2.65%"
"May 14, 2018","58.39","60.66","60.99","58.32","36.43M","-3.02%"
"May 11, 2018","60.21","61.54","61.78","59.82","23.40M","-1.30%"
"May 10, 2018","61.00","61.50","62.60","60.82","28.26M","-0.60%"
"May 09, 2018","61.37","60.08","61.40","60.01","28.64M","1.62%"
"May 08, 2018","60.39","60.16","61.55","59.80","29.65M","-0.26%"
"May 07, 2018","60.55","59.50","61.19","59.03","43.39M","2.94%"
"May 04, 2018","58.82","56.60","59.37","55.90","42.85M","3.39%"
"May 03, 2018","56.89","55.76","57.61","55.05","86.76M","-5.55%"
"May 02, 2018","60.23","59.71","61.37","59.56","44.85M","0.42%"
"May 01, 2018","59.98","58.70","60.16","58.64","23.13M","2.04%"
"Apr 30, 2018","58.78","58.72","59.75","58.50","21.14M","-0.05%"
"Apr 27, 2018","58.81","57.07","58.89","56.77","21.82M","2.99%"
"Apr 26, 2018","57.10","55.75","57.16","55.30","21.78M","1.71%"
"Apr 25, 2018","56.14","56.70","57.03","55.45","20.07M","-0.97%"
"Apr 24, 2018","56.69","57.00","57.42","55.69","28.43M","0.04%"
"Apr 23, 2018","56.67","58.26","58.32","56.47","24.47M","-2.38%"
"Apr 20, 2018","58.05","59.03","60.00","57.95","28.14M","-3.28%"
"Apr 19, 2018","60.02","58.22","60.20","57.71","30.45M","2.30%"
"Apr 18, 2018","58.67","58.22","60.05","57.63","32.79M","1.96%"
"Apr 17, 2018","57.54","57.77","58.43","56.50","35.00M","-1.20%"
"Apr 16, 2018","58.24","59.80","59.93","57.80","31.69M","-3.05%"
"Apr 13, 2018","60.07","60.72","60.79","59.20","36.64M","2.13%"
"Apr 12, 2018","58.82","60.46","60.79","58.74","38.04M","-2.28%"
"Apr 11, 2018","60.19","60.15","61.80","59.93","37.41M","-1.23%"
"Apr 10, 2018","60.94","59.79","61.42","58.74","55.12M","5.20%"
"Apr 09, 2018","57.93","60.07","61.90","57.84","51.25M","-3.22%"
"Apr 06, 2018","59.86","60.20","61.86","59.10","67.60M","-2.09%"
"Apr 05, 2018","61.14","57.87","61.25","57.64","95.61M","6.53%"
"Apr 04, 2018","57.39","50.56","57.67","50.40","99.48M","7.25%"
"Apr 03, 2018","53.51","53.96","54.67","50.90","94.22M","5.96%"
"Apr 02, 2018","50.50","51.25","52.07","48.92","80.57M","-5.13%"
"Mar 29, 2018","53.23","51.30","54.19","49.64","75.85M","3.24%"
"Mar 28, 2018","51.56","52.92","53.74","50.42","105.01M","-7.66%"
"Mar 27, 2018","55.84","60.80","60.85","55.44","69.36M","-8.22%"
"Mar 26, 2018","60.84","61.47","61.52","58.27","41.88M","0.88%"
"Mar 23, 2018","60.31","62.25","62.32","60.09","33.27M","-2.44%"
"Mar 22, 2018","61.82","62.78","63.76","61.64","24.70M","-2.35%"
"Mar 21, 2018","63.31","62.05","64.49","62.04","29.79M","1.93%"
"Mar 20, 2018","62.11","62.97","63.25","61.75","23.82M","-0.96%"
"Mar 19, 2018","62.71","63.30","64.15","61.93","37.42M","-2.43%"
"Mar 16, 2018","64.27","65.19","65.48","63.81","30.59M","-1.31%"
"Mar 15, 2018","65.12","65.88","66.57","64.22","32.82M","-0.32%"
"Mar 14, 2018","65.33","67.35","67.96","64.79","39.84M","-4.45%"
"Mar 13, 2018","68.37","68.98","69.02","67.25","29.83M","-1.06%"
"Mar 12, 2018","69.10","65.72","69.44","65.30","41.32M","5.61%"
"Mar 09, 2018","65.43","64.82","65.70","64.47","27.53M","-0.59%"
"Mar 08, 2018","65.82","66.57","66.66","65.25","17.83M","-0.96%"
"Mar 07, 2018","66.46","65.09","66.50","64.35","25.04M","1.25%"
"Mar 06, 2018","65.64","66.75","67.27","65.41","21.43M","-1.54%"
"Mar 05, 2018","66.67","66.48","67.55","65.86","19.12M","-0.52%"
"Mar 02, 2018","67.02","65.40","67.04","64.59","25.46M","1.25%"
"Mar 01, 2018","66.19","69.00","69.73","66.01","34.43M","-3.53%"
